         32941545 function calls (32512039 primitive calls) in 43.008 seconds

   Ordered by: cumulative time
   List reduced from 1385 to 65 due to restriction <65>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9552/8908    0.683    0.000   14.149    0.002 indexed_register.py:122(synchronise)
175170/132385    0.640    0.000   16.151    0.000 state.py:143(refresh_continuous_effects)
   805658    0.619    0.000    0.935    0.000 change_tracking.py:33(__iter__)
   830772    0.598    0.000    2.487    0.000 <frozen _collections_abc>:804(get)
   805779    0.582    0.000    0.851    0.000 __init__.py:1127(__len__)
   881480    0.558    0.000    1.337    0.000 <frozen abc>:117(__instancecheck__)
   966232    0.490    0.000    0.635    0.000 {built-in method builtins.getattr}
    63476    0.433    0.000    3.564    0.000 lands.py:206(basic_land_abilities)
   539926    0.419    0.000    0.612    0.000 enum.py:1266(__hash__)
    38199    0.384    0.000    0.655    0.000 event_bus.py:69(__post_init__)
   133281    0.380    0.000    0.714    0.000 state.py:206(time_stamp)
   808187    0.375    0.000    0.375    0.000 stat.py:224(<genexpr>)
175170/132385    0.375    0.000   15.467    0.000 continuous_rules.py:71(refresh_continuous_effects)
901947/901852    0.358    0.000    0.358    0.000 {built-in method builtins.iter}
   805681    0.305    0.000    0.305    0.000 card.py:770(stats)
906203/901377    0.302    0.000    0.307    0.000 {built-in method builtins.len}
    56485    0.279    0.000    0.386    0.000 __init__.py:69(__new__)
   259718    0.276    0.000    0.531    0.000 __init__.py:1148(__contains__)
   813647    0.275    0.000    0.275    0.000 card.py:782(modifier_sources)
    21727    0.245    0.000    4.113    0.000 card.py:992(get_activatable_ability_defs)
   199581    0.228    0.000    6.559    0.000 card.py:917(get_types)
    74041    0.184    0.000    0.845    0.000 object_register.py:119(query)
   132177    0.140    0.000    0.187    0.000 modifier.py:35(__eq__)
    60602    0.138    0.000    3.397    0.000 card.py:1113(get_power)
    64673    0.136    0.000    3.390    0.000 card.py:1127(get_toughness)
   129285    0.123    0.000    0.123    0.000 card.py:541(zone)
82271/82184    0.117    0.000    0.287    0.000 {built-in method builtins.any}


